質問,想定の引用元1,想定の引用元2,想定の引用元3,チャンク1,チャンク2,チャンク3
ディーゼルエンジンのSFOCとは何ですか？,エンジン性能マニュアル.pdf,燃料効率ガイド.pdf,,,,
IMO Tier IIIの排ガス規制値はどのくらいですか？,MARPOL条約.pdf,排ガス規制ガイド.pdf,IMO規制文書.pdf,,,
SCRシステムの動作原理を教えてください,SCRシステムガイド.pdf,排ガス処理技術.pdf,,,,
EEDIとEEXIの違いは何ですか？,船舶エネルギー効率ガイド.pdf,IMO規制文書.pdf,,,,
舶用エンジンの燃料噴射装置にはどのような種類がありますか？,燃料システムマニュアル.pdf,エンジン構造ガイド.pdf,,,,
NOx排出を削減する方法は何ですか？,排ガス規制ガイド.pdf,環境対策技術.pdf,SCRシステムガイド.pdf,,,
2ストロークエンジンと4ストロークエンジンの違いは？,エンジン基礎知識.pdf,エンジン構造ガイド.pdf,,,,
船級協会の役割は何ですか？,海事規制概要.pdf,船級協会ガイド.pdf,,,,
MARPOLの附属書VIは何を規定していますか？,MARPOL条約.pdf,大気汚染防止規則.pdf,,,,
CIIレーティングとは何ですか？,船舶エネルギー効率ガイド.pdf,IMO規制文書.pdf,環境対策技術.pdf,,,
